!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:15:02' objTablesVersion='1.0.5' ionicStrength='0.1' ionicStrengthUnit='mM' pH='7.0' temperature='298.15' temperatureUnit='kelvin' unit='kJ/mol',,,,,,
!Comment,!QuantityType,!Mean,!Std,!Sign,!Identifiers:kegg.reaction,!UseAsPriorInformation
,standard Gibbs energy of reaction,31.7,7.7,0,R04687,False
,standard Gibbs energy of reaction,32.7,7.7,0,R04688,False
,standard Gibbs energy of reaction,473.0,94.1,0,R04690,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04691,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04692,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04693,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04694,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04695,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04696,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04697,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04698,False
,standard Gibbs energy of reaction,-409.4,65.2,0,R04699,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04700,False
,standard Gibbs energy of reaction,-107.1,69.5,0,R04701,False
,standard Gibbs energy of reaction,-443.4,79.8,0,R04702,False
,standard Gibbs energy of reaction,-155.6,78.4,0,R04703,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04705,False
,standard Gibbs energy of reaction,-155.6,81.3,0,R04706,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04707,False
,standard Gibbs energy of reaction,-443.3,82.4,0,R04708,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04709,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04710,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04711,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04713,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04714,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04715,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04716,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04717,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04718,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04719,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04720,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04721,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04722,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04723,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04724,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04725,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04726,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04727,False
,standard Gibbs energy of reaction,3.1,86.9,0,R04728,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04729,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04730,False
,standard Gibbs energy of reaction,-32.4,15.7,0,R04731,False
,standard Gibbs energy of reaction,11.3,19.2,0,R04732,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04733,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04734,False
,standard Gibbs energy of reaction,0.0,16.9,0,R04736,False
,standard Gibbs energy of reaction,20.6,39.2,0,R04737,False
,standard Gibbs energy of reaction,0.6,39.9,0,R04738,False
,standard Gibbs energy of reaction,20.6,37.4,0,R04739,False
,standard Gibbs energy of reaction,0.6,38.1,0,R04740,False
,standard Gibbs energy of reaction,20.6,35.7,0,R04741,False
,standard Gibbs energy of reaction,32.6,35.3,0,R04742,False
,standard Gibbs energy of reaction,20.6,34.2,0,R04743,False
,standard Gibbs energy of reaction,0.6,34.9,0,R04744,False
,standard Gibbs energy of reaction,20.6,32.8,0,R04745,False
,standard Gibbs energy of reaction,0.6,33.6,0,R04746,False
,standard Gibbs energy of reaction,32.6,32.6,0,R04747,False
,standard Gibbs energy of reaction,24.7,2.9,0,R04748,False
,standard Gibbs energy of reaction,1.0,5.8,0,R04749,False
,standard Gibbs energy of reaction,45.1,32.8,0,R04751,False
,standard Gibbs energy of reaction,64.2,35.3,0,R04753,False
,standard Gibbs energy of reaction,46.2,35.7,0,R04754,False
,standard Gibbs energy of reaction,0.0,39.8,0,R04756,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04758,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04759,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04760,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04761,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04762,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04763,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04764,False
,standard Gibbs energy of reaction,-155.6,86.4,0,R04768,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04769,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04770,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04771,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04772,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04773,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04774,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04775,False
,standard Gibbs energy of reaction,-21.6,33.8,0,R04776,False
,standard Gibbs energy of reaction,-22.3,33.5,0,R04777,False
,standard Gibbs energy of reaction,-13.1,4.3,0,R04779,False
,standard Gibbs energy of reaction,-13.3,4.3,0,R04780,False
,standard Gibbs energy of reaction,3.1,9.6,0,R04781,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04782,False
,standard Gibbs energy of reaction,-13.4,3.5,0,R04783,False
,standard Gibbs energy of reaction,-70.1,7.7,0,R04784,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04785,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04786,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04787,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04789,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04790,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04791,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04792,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04794,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04795,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04798,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04799,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04800,False
,standard Gibbs energy of reaction,-207.7,82.1,0,R04801,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04803,False
,standard Gibbs energy of reaction,6.8,5.8,0,R04804,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04805,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04806,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04807,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04808,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04809,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04810,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04811,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04812,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04813,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04817,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04818,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04819,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04823,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04824,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04825,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04826,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04827,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04829,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04830,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04831,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04832,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04833,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04834,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04835,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04836,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04837,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04838,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04840,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04842,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04843,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04844,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04845,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04846,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04847,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04849,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04850,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04852,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04853,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04854,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04855,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04856,False
,standard Gibbs energy of reaction,-0.7,18.3,0,R04857,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04858,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04859,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04860,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04861,False
,standard Gibbs energy of reaction,22.3,5.2,0,R04862,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04863,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04864,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04866,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04867,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04868,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04869,False
,standard Gibbs energy of reaction,-103.5,13.8,0,R04870,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04872,False
,standard Gibbs energy of reaction,-13.0,17.0,0,R04874,False
,standard Gibbs energy of reaction,1.2,12.9,0,R04875,False
,standard Gibbs energy of reaction,-20.7,15.9,0,R04876,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04877,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04878,False
,standard Gibbs energy of reaction,280.2,14.0,0,R04879,False
,standard Gibbs energy of reaction,23.1,16.6,0,R04880,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04881,False
,standard Gibbs energy of reaction,-36.9,16.7,0,R04882,False
,standard Gibbs energy of reaction,-36.0,16.7,0,R04883,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04884,False
,standard Gibbs energy of reaction,42.9,30.9,0,R04885,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04886,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04887,False
,standard Gibbs energy of reaction,-36.9,17.4,0,R04888,False
,standard Gibbs energy of reaction,-36.0,17.4,0,R04889,False
,standard Gibbs energy of reaction,-94.4,19.1,0,R04890,False
,standard Gibbs energy of reaction,-36.9,17.2,0,R04891,False
,standard Gibbs energy of reaction,-36.0,17.2,0,R04892,False
,standard Gibbs energy of reaction,-94.4,18.9,0,R04893,False
,standard Gibbs energy of reaction,-87.9,21.1,0,R04894,False
,standard Gibbs energy of reaction,-0.6,7.3,0,R04895,False
,standard Gibbs energy of reaction,204.2,9.4,0,R04899,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04900,False
,standard Gibbs energy of reaction,6.8,53.9,0,R04901,False
,standard Gibbs energy of reaction,-443.4,58.6,0,R04902,False
,standard Gibbs energy of reaction,-36.9,20.8,0,R04903,False
,standard Gibbs energy of reaction,-170.4,22.3,0,R04904,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04905,False
,standard Gibbs energy of reaction,-148.2,29.6,0,R04906,False
,standard Gibbs energy of reaction,-209.5,20.7,0,R04907,False
,standard Gibbs energy of reaction,21.1,19.2,0,R04909,False
,standard Gibbs energy of reaction,-64.2,16.8,0,R04910,False
,standard Gibbs energy of reaction,-32.0,18.0,0,R04911,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04913,False
,standard Gibbs energy of reaction,-116.7,19.3,0,R04914,False
,standard Gibbs energy of reaction,-324.9,18.9,0,R04915,False
,standard Gibbs energy of reaction,-38.2,14.9,0,R04916,False
,standard Gibbs energy of reaction,-37.2,14.9,0,R04917,False
,standard Gibbs energy of reaction,11.4,16.5,0,R04918,False
,standard Gibbs energy of reaction,23.9,30.1,0,R04919,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04920,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04921,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04922,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04923,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04924,False
,standard Gibbs energy of reaction,128.5,31.3,0,R04925,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04927,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04928,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04929,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04930,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04931,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04932,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04933,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04934,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04935,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04936,False
,standard Gibbs energy of reaction,-187.1,3.6,0,R04937,False
,standard Gibbs energy of reaction,-198.8,3.2,0,R04938,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04939,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04940,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04941,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04942,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04943,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04944,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04945,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04946,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04947,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04948,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04949,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04950,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04951,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04952,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04953,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04954,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04955,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04956,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04957,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04958,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04959,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04960,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04961,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04962,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04963,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04964,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04965,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04966,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04967,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04968,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04969,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04970,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04971,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04972,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04973,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04975,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04977,False
,standard Gibbs energy of reaction,76.3,123.4,0,R04978,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04979,False
,standard Gibbs energy of reaction,-2195.6,42.6,0,R04980,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04981,False
,standard Gibbs energy of reaction,-375.0,63.7,0,R04982,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04983,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04984,False
,standard Gibbs energy of reaction,11.0,23.9,0,R04985,False
,standard Gibbs energy of reaction,-11.0,79.4,0,R04986,False
,standard Gibbs energy of reaction,-443.3,79.9,0,R04987,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04988,False
,standard Gibbs energy of reaction,-440.1,82.2,0,R04989,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04990,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04993,False
,standard Gibbs energy of reaction,-36.9,16.3,0,R04996,False
,standard Gibbs energy of reaction,35.7,13.5,0,R04998,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R04999,False
,standard Gibbs energy of reaction,-75.9,22.9,0,R05000,False
,standard Gibbs energy of reaction,-204.2,13.0,0,R05001,False
,standard Gibbs energy of reaction,-7.6,59.8,0,R05002,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05010,False
,standard Gibbs energy of reaction,-11.7,136.4,0,R05030,False
,standard Gibbs energy of reaction,-13.7,130.6,0,R05032,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05035,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05036,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05037,False
,standard Gibbs energy of reaction,6.7,62.2,0,R05038,False
,standard Gibbs energy of reaction,-460.4,63.1,0,R05039,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05040,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05041,False
,standard Gibbs energy of reaction,0.0,43.3,0,R05043,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05044,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05045,False
,standard Gibbs energy of reaction,-33.0,12.6,0,R05046,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05048,False
,standard Gibbs energy of reaction,-39.4,9.8,0,R05049,False
,standard Gibbs energy of reaction,-36.5,7.4,0,R05050,False
,standard Gibbs energy of reaction,36.9,5.6,0,R05051,False
,standard Gibbs energy of reaction,-8.6,5.6,0,R05052,False
,standard Gibbs energy of reaction,6.6,8.1,0,R05053,False
,standard Gibbs energy of reaction,-2.6,33.6,0,R05055,False
,standard Gibbs energy of reaction,-53.6,34.6,0,R05056,False
,standard Gibbs energy of reaction,53.6,29.8,0,R05057,False
,standard Gibbs energy of reaction,-75.0,35.2,0,R05058,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05059,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05060,False
,standard Gibbs energy of reaction,-5.3,16.3,0,R05061,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05062,False
,standard Gibbs energy of reaction,23.0,9.2,0,R05063,False
,standard Gibbs energy of reaction,-25.0,30.0,0,R05064,False
,standard Gibbs energy of reaction,23.1,3.9,0,R05066,False
,standard Gibbs energy of reaction,21.6,6.5,0,R05068,False
,standard Gibbs energy of reaction,0.0,6.9,0,R05069,False
,standard Gibbs energy of reaction,-35.6,6.2,0,R05070,False
,standard Gibbs energy of reaction,0.0,6.9,0,R05071,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05072,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05074,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05075,False
,standard Gibbs energy of reaction,-3.3,31.6,0,R05076,False
,standard Gibbs energy of reaction,34.8,6.5,0,R05077,False
,standard Gibbs energy of reaction,3.1,7.9,0,R05078,False
,standard Gibbs energy of reaction,39.7,6.7,0,R05079,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05080,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05081,False
,standard Gibbs energy of reaction,-19.0,11.7,0,R05083,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05084,False
,standard Gibbs energy of reaction,-9.6,5.1,0,R05085,False
,standard Gibbs energy of reaction,-13.9,5.6,0,R05086,False
,standard Gibbs energy of reaction,-21.1,8.2,0,R05087,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05088,False
,standard Gibbs energy of reaction,-205.2,38.1,0,R05089,False
,standard Gibbs energy of reaction,-406.8,36.6,0,R05090,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05092,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05097,False
,standard Gibbs energy of reaction,-86.9,8.9,0,R05098,False
,standard Gibbs energy of reaction,-37.2,6.4,0,R05099,False
,standard Gibbs energy of reaction,-7.0,16.3,0,R05100,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05102,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05105,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05106,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05107,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05108,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05109,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05110,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05111,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05112,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05113,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05114,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05115,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05116,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05117,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05118,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05119,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05120,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05121,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05122,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05123,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05124,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05125,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05126,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05127,False
,standard Gibbs energy of reaction,69.5,43.1,0,R05128,False
,standard Gibbs energy of reaction,-93.6,42.5,0,R05129,False
,standard Gibbs energy of reaction,-64.6,77.8,0,R05130,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05131,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05132,False
,standard Gibbs energy of reaction,30.7,16.2,0,R05133,False
,standard Gibbs energy of reaction,30.7,12.1,0,R05134,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05135,False
,standard Gibbs energy of reaction,-10.0,12.1,0,R05136,False
,standard Gibbs energy of reaction,-74.8,17.5,0,R05137,False
,standard Gibbs energy of reaction,62.6,8.9,0,R05138,False
,standard Gibbs energy of reaction,-247.4,2.7,0,R05140,False
,standard Gibbs energy of reaction,-13.4,35.8,0,R05141,False
,standard Gibbs energy of reaction,-13.4,29.7,0,R05142,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05144,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05145,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05146,False
,standard Gibbs energy of reaction,14.2,5.0,0,R05147,False
,standard Gibbs energy of reaction,-400.2,16.4,0,R05148,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05149,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05150,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05151,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05152,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05153,False
,standard Gibbs energy of reaction,-442.4,22.2,0,R05154,False
,standard Gibbs energy of reaction,-365.1,16.1,0,R05155,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05156,False
,standard Gibbs energy of reaction,-356.3,26.8,0,R05157,False
,standard Gibbs energy of reaction,-442.4,22.2,0,R05158,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05162,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05163,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05164,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05165,False
,standard Gibbs energy of reaction,-8.9,17.9,0,R05166,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05167,False
,standard Gibbs energy of reaction,-7.4,7.3,0,R05168,False
,standard Gibbs energy of reaction,-34.7,20.4,0,R05169,False
,standard Gibbs energy of reaction,-32.7,21.4,0,R05170,False
,standard Gibbs energy of reaction,-18.2,17.6,0,R05171,False
,standard Gibbs energy of reaction,16.2,14.0,0,R05172,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05173,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05174,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05175,False
,standard Gibbs energy of reaction,0.0,12.9,0,R05176,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05177,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05179,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05180,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05181,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05182,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05183,False
,standard Gibbs energy of reaction,-529.0,48.2,0,R05185,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05198,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05199,False
,standard Gibbs energy of reaction,29.0,38.9,0,R05202,False
,standard Gibbs energy of reaction,3.3,34.4,0,R05207,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05209,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05210,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05211,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05212,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05213,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05214,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05215,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05216,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05217,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05218,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05219,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05220,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05221,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05222,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05223,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R05224,False
